Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1978,45.348
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1978,3.06398428248064
Nigeria,NGA,"Population, total",SP.POP.TOTL,1978,69326532.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1979,1.3905418821346684
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1979,6.759430935191773
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,660.9940408642932
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1979,45.738
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1979,3.08451719174793
Nigeria,NGA,"Population, total",SP.POP.TOTL,1979,71498242.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1980,1.2146822486399682
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1980,4.204831044272922
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,870.3599346820567
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1980,45.959
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1980,3.12066355658369
Nigeria,NGA,"Population, total",SP.POP.TOTL,1980,73764641.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1981,0.9637600664236364
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1981,-13.127880485051406
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,2162.209954360747
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1981,46.309
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1981,3.07495335898149
Nigeria,NGA,"Population, total",SP.POP.TOTL,1981,76068103.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1982,0.8917665017183686
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1982,-6.803388815348015
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,1821.532654823869
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1982,46.437
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1982,2.99231883880151
Nigeria,NGA,"Population, total",SP.POP.TOTL,1982,78378701.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1983,0.8700996267199216
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1983,-10.92408503393878
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,1207.0737456534855
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1983,46.442
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1983,2.59377141123926
Nigeria,NGA,"Population, total",SP.POP.TOTL,1983,80438260.0
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1984,0.8519027046882416
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1984,-1.1156232171682063
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,890.4341063323023
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1984,46.339
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1984,2.56288295556477
